,Title,Year,AltTitleList
0,Ärztliche Merkblätter über berufliche Erkrankungen,1930,Ärztliche Merkblätter über berufliche Erkrankungen
1,Aklimatische Bodenbildung und Fossile Verwitterungsdecken,1930,Aklimatische Bodenbildung und Fossile Verwitterungsdecken
2,Aklimatische Bodenbildung und Fossile Verwitterungsdecken,1930,Aklimatische Bodenbildung und Fossile Verwitterungsdecken
3,Allgemeine Baubetriebslehre,1930,Allgemeine Baubetriebslehre
4,Allgemeine Einführung in das Flugwesen,1930,Allgemeine Einführung in das Flugwesen
5,Allgemeine Therapie der Hautkrankheiten,1930,Allgemeine Therapie der Hautkrankheiten
6,Amerikanische und Deutsche Löhne,1930,Amerikanische und Deutsche Löhne
7,Analyse der Harze Balsame und Gummiharze nebst ihrer Chemie und Pharmakognosie,1930,Analyse der Harze Balsame und Gummiharze nebst ihrer Chemie und Pharmakognosie
8,Anatomie · Entwicklung · Missbildungen · Vererbung,1930,Anatomie · Entwicklung · Missbildungen · Vererbung
9,"Anatomie und Diagnostik der Carcinome, der Bindegewebs-geschwülste und Mischgesdiwülste des Uterus, der Blasenmole und des Chorionepithelioma malignum",1930,"Anatomie und Diagnostik der Carcinome, der Bindegewebs-geschwülste und Mischgesdiwülste des Uterus, der Blasenmole und des Chorionepithelioma malignum"
10,"Anatomie und Diagnostik der Carcinome, der Bindegewebsgeschwülste und Mischgeschwülste des Uterus, der Blasenmole und des Chorionepithelioma malignum",1930,"Anatomie und Diagnostik der Carcinome, der Bindegewebsgeschwülste und Mischgeschwülste des Uterus, der Blasenmole und des Chorionepithelioma malignum"
11,"Anatomie und topographische Anatomie, Entwicklungsgeschichte und Bildungsfehler der weiblichen Genitalien",1930,"Anatomie und topographische Anatomie, Entwicklungsgeschichte und Bildungsfehler der weiblichen Genitalien"
12,"Anatomie und topographische Anatomie, Entwicklungsgeschichte und Bildungsfehler der weiblichen Genitalien",1930,"Anatomie und topographische Anatomie, Entwicklungsgeschichte und Bildungsfehler der weiblichen Genitalien"
13,Anleitung zu medizinisch-chemischen Untersuchungen für Apotheker,1930,Anleitung zu medizinisch-chemischen Untersuchungen für Apotheker
14,Anweisung zur Bekämpfung der Pocken,1930,Anweisung zur Bekämpfung der Pocken
15,Anweisung zur Bekämpfung der Pocken,1930,Anweisung zur Bekämpfung der Pocken
16,Anweisungen für den Tabakpflanzer,1930,Anweisungen für den Tabakpflanzer
17,Arbeiten aus dem Elektrotechnischen Institut der Badischen Technischen Hochschule Fridericiana zu Karlsruhe,1930,Arbeiten aus dem Elektrotechnischen Institut der Badischen Technischen Hochschule Fridericiana zu Karlsruhe
18,Arbeiten aus dem Elektrotechnischen Institut der Badischen Technischen Hochschule Fridericiana zu Karlsruhe,1930,Arbeiten aus dem Elektrotechnischen Institut der Badischen Technischen Hochschule Fridericiana zu Karlsruhe
19,Archives of toxicology,NA,Archives of toxicology
20,Atmungswege und Lungen,1930,Atmungswege und Lungen
21,Aufgaben aus technischer Mechanik,1930,Aufgaben aus technischer Mechanik
22,Ausschnitte aus Fontanes Wanderungen durch d. Mark Brandenburg,1930,Ausschnitte aus Fontanes Wanderungen durch d. Mark Brandenburg
23,Automobilschwingungslehre,1930,Automobilschwingungslehre
24,Baukrane,1930,Baukrane
78,"Beiträge zur Kenntnis der stickstoffhaltigen Bestandteile, insbesondere des Reststickstoffs der Kuhmilch",1930,"Beiträge zur Kenntnis der stickstoffhaltigen Bestandteile, insbesondere des Reststickstoffs der Kuhmilch"
79,"Beiträge zur Kenntnis der stickstofhaltigen Bestandteile, insbesondere des Reststickstoffs der Kuhmilch",1930,"Beiträge zur Kenntnis der stickstofhaltigen Bestandteile, insbesondere des Reststickstoffs der Kuhmilch"
80,Beitrag zur Entwicklungsgeschichte des Auges,1930,Beitrag zur Entwicklungsgeschichte des Auges
81,Beitrag zur Entwicklungsgeschichte des Auges,1930,Beitrag zur Entwicklungsgeschichte des Auges
82,Berechnung und Konstruktion der Dampfturbinen,1930,Berechnung und Konstruktion der Dampfturbinen
83,Berechnung und Konstruktion der Dampfturbinen,1930,Berechnung und Konstruktion der Dampfturbinen
84,Bergbaumechanik,1930,Bergbaumechanik
85,Betriebs-Chemie für Maschinenbauer und Elektrotechniker,1930,Betriebs-Chemie für Maschinenbauer und Elektrotechniker
86,Betriebs-Chemie für Maschinenbauer und Elektrotechniker,1930,Betriebs-Chemie für Maschinenbauer und Elektrotechniker
87,Betriebs-Chemie für Maschinenbauer und Elektrotechniker,1930,Betriebs-Chemie für Maschinenbauer und Elektrotechniker
88,Biographisches Lexikon der hervorragenden Aerzte aller Zeiten und Völker / Bd. 2. Chavet - Gyulay,1930,Biographisches Lexikon der hervorragenden Aerzte aller Zeiten und Völker / Bd. . Chavet - Gyulay
89,Blutgefäss- und Lymphgefässapparat Atmungsapparat und Innersekretorische Drüsen,1930,Blutgefäss- und Lymphgefässapparat Atmungsapparat und Innersekretorische Drüsen
90,"Briefumschläge, Lohnbeutel, Taschen, Fensterbriefumschläge",1930,"Briefumschläge, Lohnbeutel, Taschen, Fensterbriefumschläge"
91,Catalogue général d' articles pour la papeterie,1930,Catalogue général d' articles pour la papeterie
92,Chirurgie des Kindesalters,1930,Chirurgie des Kindesalters
93,Clichés Farben Papiere,1930,Clichés Farben Papiere
94,Dampfturbinenschaufeln,1930,Dampfturbinenschaufeln
95,Dampfturbinenschaufeln,1930,Dampfturbinenschaufeln
96,Das ärztliche Volksbuch / Bd. 1. Vorbereit. Tl u. Tl 1: Gesundheitslehre,1930,Das ärztliche Volksbuch / Bd. . Vorbereit. Tl u. Tl : Gesundheitslehre
97,Das ärztliche Volksbuch / Bd. 2. Tl 2: Krankheitslehre,1930,Das ärztliche Volksbuch / Bd. . Tl : Krankheitslehre
98,Das ärztliche Volksbuch / Bd. 3. Tl 3: Krankheitslehre,1930,Das ärztliche Volksbuch / Bd. . Tl : Krankheitslehre
99,Das Anreißen in Maschinenbau-Werkstätten,1930,Das Anreißen in Maschinenbau-Werkstätten
100,Das Anreißen in Maschinenbau-Werkstätten,1930,Das Anreißen in Maschinenbau-Werkstätten
101,Das Augenzittern der Bergleute,1930,Das Augenzittern der Bergleute
102,Das Augenzittern der Bergleute,1930,Das Augenzittern der Bergleute
103,Das Bürstenproblem im Elektromaschinenbau,1930,Das Bürstenproblem im Elektromaschinenbau
104,Das Gewerbeekzem,1930,Das Gewerbeekzem
105,Das Gewerbeekzem,1930,Das Gewerbeekzem
106,Das Glaukom,1930,Das Glaukom
107,Das goldene Kräuterbuch,1930,Das goldene Kräuterbuch
